idx,data structure,Ins/Del Ratio,Read/Write Ratio,Element Size,Number of Elements, Number of Chunks, Operations Completed
1,tiered_list,0,100,8,10,1,391340507
2,tiered_list,0,100,8,10,10,414224295
3,tiered_list,0,100,8,10,100,407631392
4,tiered_list,0,100,8,1000,1,374882031
5,tiered_list,0,100,8,1000,10,375909987
6,tiered_list,0,100,8,1000,100,369307342
7,tiered_list,0,100,8,100000,1,367280206
8,tiered_list,0,100,8,100000,10,372203980
9,tiered_list,0,100,8,100000,100,343412886
10,tiered_list,0,100,8,10000000,1,362570335
11,tiered_list,0,100,8,10000000,10,309801535
12,tiered_list,0,100,8,10000000,100,356998109
13,tiered_list,0,100,512,10,1,290073506
14,tiered_list,0,100,512,10,10,254091502
15,tiered_list,0,100,512,10,100,262538614
16,tiered_list,0,100,512,1000,1,218986105
17,tiered_list,0,100,512,1000,10,212113650
18,tiered_list,0,100,512,1000,100,105897920
19,tiered_list,0,100,512,100000,1,106118042
20,tiered_list,0,100,512,100000,10,102530565
21,tiered_list,0,100,512,100000,100,98623355
22,tiered_list,0,100,8192,10,1,47347513
23,tiered_list,0,100,8192,10,10,18347109
24,tiered_list,0,100,8192,10,100,34465259
25,tiered_list,0,100,8192,1000,1,21672836
26,tiered_list,0,100,8192,1000,10,9582090
27,tiered_list,0,100,8192,1000,100,9120821
28,tiered_list,0,100,8192,100000,1,9305280
29,tiered_list,0,100,8192,100000,10,8229783
30,tiered_list,1,99,8,10,1,525136954
31,tiered_list,1,99,8,10,10,392637351
32,tiered_list,1,99,8,10,100,423335147
